Intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,inter_linear_spacing,weight,peak_number,Class
-0.06721,-0.197025,0.299642,-1.66337,0.261718,-0.847807,0.333428,0.5340779999999999,0.219991,F
0.241386,-0.322644,0.310311,0.49055,0.261718,-0.05883500000000001,0.52218,0.193221,-0.029461,A
-0.104241,0.23479,0.214288,0.31402800000000003,0.17234000000000002,-0.391033,0.106925,1.460834,1.093072,H
-0.178304,-0.189174,0.26407800000000003,-0.6404920000000001,0.17234000000000002,0.937762,-0.006326,-0.282573,-0.5283640000000001,A
0.4142,-0.16562000000000002,0.05425,-0.8919959999999999,0.976743,-0.474083,-1.478592,0.182524,1.654339,I
-0.22768,0.289748,0.132491,-0.234783,0.261718,-1.512204,0.182426,0.518701,1.436069,E
-0.017834,-2.426761,0.278304,0.506662,0.17234000000000002,1.26996,0.55993,-0.629934,-0.5283640000000001,F
0.117948,0.242641,0.082701,-0.424583,-0.9001979999999999,1.394535,0.106925,-1.643282,-0.278912,G
0.63639,-0.063555,0.132491,-0.6317189999999999,0.976743,-0.30798400000000004,0.295677,-1.313084,0.126447,I
-0.054866,-0.024299,0.07914500000000001,0.136282,0.261718,0.024215,-0.119577,0.025297,0.064084,F
-0.00549,-0.220579,-3.210528,1.071885,0.261718,1.768258,0.597681,-0.101058,0.251173,A
0.117948,-0.008597,0.623275,-0.855684,0.17234000000000002,-0.30798400000000004,0.295677,-0.045724,-1.183175,A
-0.22768,-0.251983,0.449011,-1.268911,0.261718,0.605563,0.710932,1.703934,0.8748020000000001,E
-0.079554,-0.338346,0.40989,0.129748,0.17234000000000002,0.231839,1.012935,0.398831,0.718895,A
-0.091897,-0.071406,0.537921,-1.178561,0.261718,-0.681707,0.484429,1.115686,0.157628,E
-0.030178,-0.063555,0.285416,-1.278877,0.17234000000000002,-0.764757,0.295677,0.357689,-0.559546,F
0.056229,0.486028,0.10404,-0.053338,0.261718,-0.681707,0.257927,-0.093835,-0.341275,G
0.15498,-0.322644,0.17516800000000002,0.126526,0.17234000000000002,0.439463,0.069175,0.280144,-0.123005,A
0.883267,-0.314793,0.086258,-1.3378370000000002,0.976743,-1.013906,-1.25209,0.776752,1.623157,I
-0.06721,0.462474,0.10404,0.463129,0.261718,-0.183409,0.597681,0.8642569999999999,0.157628,F
0.13029200000000002,-0.157769,0.577041,-0.670986,0.17234000000000002,-1.38763,0.446679,0.371824,0.344717,C
-0.104241,-0.07925700000000001,0.011573,0.220903,0.261718,1.477585,0.106925,-0.5945779999999999,0.251173,A
2.105308,-0.07925700000000001,0.239183,-1.152363,-0.989576,-1.2630549999999998,0.295677,-0.974732,-0.278912,A
1.21655,0.156278,-0.013322,0.353593,0.17234000000000002,0.813187,0.824183,-0.121037,-0.8401790000000001,A
-0.573307,0.376111,0.057807,0.047395,0.261718,-0.889332,0.182426,0.014191999999999996,0.31353600000000004,G
0.019197,-0.173471,0.306755,-0.081535,0.17234000000000002,0.107265,-0.006326,-0.603801,-0.621908,F
0.068573,-0.20487600000000006,0.424116,1.412158,0.261718,0.937762,0.446679,1.100193,0.344717,A
0.870923,-0.236281,0.025799,-1.94155,0.976743,-1.553729,-0.836835,-3.4184910000000004,-2.243345,I
0.068573,-0.6523939999999999,0.395665,1.220985,0.261718,0.107265,0.295677,1.680015,0.781258,A
0.229043,-0.369751,0.484575,0.25017399999999995,0.261718,-0.557133,1.805694,-2.439838,-1.993893,A
-0.091897,0.226939,0.26763400000000004,0.024091,0.261718,-0.723232,0.069175,0.96677,1.311343,H
-0.635027,-0.448263,0.299642,1.407861,0.17234000000000002,-0.889332,-0.006326,0.864859,1.68552,Y
-0.672058,-0.613138,0.360101,0.373406,0.17234000000000002,-0.391033,-2.799857,1.252953,0.62535,E
-0.215336,-0.142067,0.096927,-0.184417,0.261718,-0.10036,0.295677,0.064362,0.7500760000000001,E
0.068573,0.06991499999999999,-0.002652,-1.1498270000000002,-1.257711,1.685209,0.371178,1.398394,0.594169,F
0.006853,-0.668096,0.477462,1.62168,0.17234000000000002,1.0623360000000002,0.824183,-0.209959,-1.120812,A
-0.314087,0.360409,0.395665,0.599727,-1.347089,0.314889,0.257927,0.96776,0.18881,D
